City,HealthInsuranceName,IsAccepted,HasPlus,PlusAmountArs,Notes
Corrientes,OSDE,TRUE,FALSE,0,Sin plus
Corrientes,Isunne,TRUE,FALSE,0,Sin plus
Corrientes,Sancor,TRUE,FALSE,0,Sin plus
Resistencia,OSDE,TRUE,FALSE,0,Sin plus
Resistencia,Isunne,TRUE,FALSE,0,Sin plus
Resistencia,Sancor,TRUE,FALSE,0,Sin plus
Formosa,OSDE,TRUE,FALSE,0,Sin plus
Formosa,Sancor,TRUE,FALSE,0,Sin plus
Saenz Pena,OSDE,TRUE,FALSE,0,Sin plus
Saenz Pena,Isunne,TRUE,FALSE,0,Sin plus
Saenz Pena,Sancor,TRUE,FALSE,0,Sin plus
Corrientes,AAMM (ASCARGMUTMOTO,TRUE,TRUE,35000,Plus Corrientes
Corrientes,AMMECO (PLAN A ),TRUE,TRUE,35000,Plus Corrientes
Corrientes,AMMECO (PLAN B),TRUE,TRUE,35000,Plus Corrientes
Corrientes,AMMECO (PLAN DORADO),TRUE,TRUE,35000,Plus Corrientes
Corrientes,AMMECO (RED),TRUE,TRUE,35000,Plus Corrientes
Corrientes,AMMECO ASE,TRUE,TRUE,35000,Plus Corrientes
Corrientes,AMMECO OSPUAYE,TRUE,TRUE,35000,Plus Corrientes
Corrientes,ASCMUTUAL PROTECCION FAMILIAR,TRUE,TRUE,35000,Plus Corrientes
Corrientes,ASOCIACION MUTUAL SANCOR,TRUE,TRUE,35000,Plus Corrientes
Corrientes,ASOCIACIÓN MUTUAL SANCOR(COMPLEMENTARI,TRUE,TRUE,35000,Plus Corrientes
Corrientes,ASSISTRAVEL,TRUE,TRUE,35000,Plus Corrientes
Corrientes,AVALIAN,TRUE,TRUE,35000,Plus Corrientes
Corrientes,BOREAL SALUD,TRUE,TRUE,35000,Plus Corrientes
Corrientes,BRAMED SRL,TRUE,TRUE,35000,Plus Corrientes
Corrientes,COMECOR (AMUR),TRUE,TRUE,35000,Plus Corrientes
Corrientes,CONDUCTORES NAVALES,TRUE,TRUE,35000,Plus Corrientes
Corrientes,CONFERENCIA EPISCOPAL ARG,TRUE,TRUE,35000,Plus Corrientes
Corrientes,COVER SALUD (OSFATUN),TRUE,TRUE,35000,Plus Corrientes
Corrientes,COVER SALUD (OSFE),TRUE,TRUE,35000,Plus Corrientes
Corrientes,DASUTEN - UNIVERSIDAD TECNOLOGICA NACION,TRUE,TRUE,35000,Plus Corrientes
Corrientes,DIBA COMPLEMENTARIA,TRUE,TRUE,35000,Plus Corrientes
Corrientes,ESTACDE SERVICIOS (OSPES),TRUE,TRUE,35000,Plus Corrientes
Corrientes,FARMACIA,TRUE,TRUE,35000,Plus Corrientes
Corrientes,FARMACIA (CON COSEGURO),TRUE,TRUE,35000,Plus Corrientes
Corrientes,FEDERADA SALUD (GRUPO ),TRUE,TRUE,35000,Plus Corrientes
Corrientes,FEDERADA SALUD (GRUPO ),TRUE,TRUE,35000,Plus Corrientes
Corrientes,GALENO ARGENTINA SA,TRUE,TRUE,35000,Plus Corrientes
Corrientes,GALENO ARGENTINA SACOMPLEM,TRUE,TRUE,35000,Plus Corrientes
Corrientes,GEMEPER SA (OSPERSAAMS),TRUE,TRUE,35000,Plus Corrientes
Corrientes,GEMEPER SA (OSPSMBA),TRUE,TRUE,35000,Plus Corrientes
Corrientes,GEMEPER SA(OSSACRA),TRUE,TRUE,35000,Plus Corrientes
Corrientes,GERDANNA SA,TRUE,TRUE,35000,Plus Corrientes
Corrientes,GRUPO MELD SALUD,TRUE,TRUE,35000,Plus Corrientes
Corrientes,GRUPO ROI SA -(OSTV),TRUE,TRUE,35000,Plus Corrientes
Corrientes,GRUPO ROI SA (LADRILLEROS),TRUE,TRUE,35000,Plus Corrientes
Corrientes,GRUPO ROI SA(MISECSUBSECRETA) OSMISS,TRUE,TRUE,35000,Plus Corrientes
Corrientes,INDDEL CIGARRILLO-),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR,TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR - CIRUGIA ALTA COMPLEJIDAD,TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (CARDIOCENTRO ),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (CARDIOCENTRO),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (CDEL NI?O),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (CENTRO MEDICO ),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (CLDEL PILAR SA),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (CLINICA DEL IBERA ),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (CLINICA DEL NI?O ),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (CLINICA DEL PARQUE),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (CLINICA DEL SOL ),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (CLINICA MAYO),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (CMODELO ),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (COMPLEMENTARIA),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (DEL NI?O),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (FIDEICOMISO MEDICCIS),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (HEMOTERAPIA ),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (INSDE LA MUJER ),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (INTERIOR),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (OFTALMO)DRAMARECOS,TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (PLAN BETA ),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (PLAN MATERNO INF),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (PRAC INTERNADOS),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (SDEL NORTE) HONINT,TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (SSAN JUAN ),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (TRAUMATOLOGIA),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR (UROLOGIA),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR ANATOMIA PATOLOGICA,TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR CLINI?O,TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR COMPLEMENTARIA CL DEL IBERA,TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR MAYO COMPLEMENTARIA,TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR TRAUMATOLOGIA,TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR(COMPLEMENTARIA),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSCOR(PLAN CELIACA),TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSFA,TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSFA,TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSFA - FUERZAS ARMADAS,TRUE,TRUE,35000,Plus Corrientes
Corrientes,IOSFA - FUERZAS DE SEGURIDAD,TRUE,TRUE,35000,Plus Corrientes
Corrientes,JERAQUICOS SALUD,TRUE,TRUE,35000,Plus Corrientes
Corrientes,JERARQUICOS SALUD (COMP),TRUE,TRUE,35000,Plus Corrientes
Corrientes,LUIS PASTEUR (DIFERENCIADO),TRUE,TRUE,35000,Plus Corrientes
Corrientes,LUIS PASTEUR C/IVA,TRUE,TRUE,35000,Plus Corrientes
Corrientes,MANDAR SALUD SA(DAS),TRUE,TRUE,35000,Plus Corrientes
Corrientes,"MEDICUS,AZUL,BCO,CELESTE-FC-",TRUE,TRUE,35000,Plus Corrientes
